order,x
O1,15.0
O2,15.0
O3,6.0
O4,6.0
O5,12.0
O6,22.0
O7,28.0
O8,15.0
O9,5.0
O10,15.0
O11,12.0
O12,18.0
O13,9.0
O14,33.0
O15,21.0
O16,18.0
O17,15.0
O18,12.0
O19,15.0
O20,42.0
O21,15.0
O22,9.0
O23,15.0
O24,25.0
O25,24.0
O26,26.0
O27,12.0
O28,12.0
O29,35.0
O30,6.0
O31,12.0
O32,24.0
O33,15.0
O34,12.0
O35,24.0
O36,21.0
O37,12.0
O38,21.0
O39,9.0
O40,12.0
O41,18.0
O42,15.0
O43,15.0
O44,15.0
O45,21.0
O46,15.0
O47,21.0
O48,15.0
O49,15.0
O50,15.0
O51,19.0
O52,18.0
O53,15.0
O54,25.0
O55,18.0
O56,18.0
O57,15.0
O58,15.0
O59,27.0
O60,37.0
O61,21.0
O62,15.0
O63,18.0
O64,20.0
O65,18.0
O66,20.0
O67,22.0
O68,18.0
O69,27.0
O70,18.0
O71,25.0
O72,21.0
O73,21.0
O74,24.0
O75,27.0
O76,24.0
O77,27.0
O78,22.0
O79,32.0
O80,25.0
O81,23.0
O82,21.0
O83,25.0
O84,33.0
O85,24.0
O86,45.0
O87,27.0
O88,28.0
O89,24.0
O90,26.0
O91,26.0
O92,24.0
O93,25.0
O94,24.0
O95,25.0
O96,25.0
O97,26.0
O98,24.0
O99,29.0
O100,36.0
O101,27.0
O102,28.0
O103,27.0
O104,31.0
O105,33.0
O106,28.0
O107,32.0
O108,27.0
O109,27.0
O110,35.0
O111,30.0
O112,35.0
O113,30.0
O114,30.0
O115,32.0
O116,36.0
O117,31.0
O118,31.0
O119,33.0
O120,34.0
O121,33.0
O122,28.0
O123,30.0
O124,34.0
O125,35.0
O126,45.0
O127,30.0
O128,35.0
O129,43.0
O130,34.0
O131,33.0
O132,33.0
O133,38.0
O134,37.0
O135,35.0
O136,36.0
O137,33.0
O138,36.0
O139,45.0
O140,36.0
O141,36.0
O142,36.0
O143,36.0
O144,36.0
O145,42.0
O146,39.0
O147,42.0
O148,39.0
O149,39.0
O150,44.0
O151,36.0
O152,42.0
O153,39.0
O154,40.0
O155,43.0
O156,42.0
O157,50.0
O158,45.0
O159,45.0
O160,50.0
O161,45.0
O162,45.0
O163,48.0
M1,-1.0
M2,-1.0
M3,-1.0
M4,-1.0
M5,-1.0
M6,-1.0
M7,-1.0
M8,-1.0
M9,-1.0
M10,-1.0
M11,-1.0
M12,-1.0
M13,-1.0
M14,-1.0
M15,-1.0
M16,-1.0
M17,-1.0
M18,-1.0
M19,-1.0
M20,-1.0
M21,-1.0
M22,-1.0
M23,-1.0
M24,-1.0
M25,-1.0
M26,-1.0
M27,-1.0
M28,-1.0
M29,-1.0
M30,-1.0
M31,-1.0
M32,-1.0
M33,-1.0
M34,-1.0
M35,-1.0
M36,-1.0
M37,-1.0
M38,-1.0
